date,close,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,return
2009-04-17,392.24,3.5,12.74,23.33,14.13,19.74,30.24,33.59,24.0,22.46,-3.29900061187
2009-04-20,379.3,-12.94,-9.44,-0.2,10.39,1.19,6.8,17.3,20.65,11.06,0.572106511996
2009-04-21,381.47,2.17,-10.77,-7.27,1.97,12.56,3.36,8.97,19.47,22.82,0.626523710908
2009-04-22,383.86,2.39,4.56,-8.38,-4.88,4.36,14.95,5.75,11.36,21.86,0.216224665243
2009-04-23,384.69,0.83,3.22,5.39,-7.55,-4.05,5.19,15.78,6.58,12.19,1.24775793496
2009-04-24,389.49,4.8,5.63,8.02,10.19,-2.75,0.75,9.99,20.58,11.38,-0.908880844181
2009-04-27,385.95,-3.54,1.26,2.09,4.48,6.65,-6.29,-2.79,6.45,17.04,-0.580386060371
2009-04-28,383.71,-2.24,-5.78,-0.98,-0.15,2.24,4.41,-8.53,-5.03,4.21,2.02236063694
2009-04-29,391.47,7.76,5.52,1.98,6.78,7.61,10.0,12.17,-0.77,2.73,1.14951337267
2009-04-30,395.97,4.5,12.26,10.02,6.48,11.28,12.11,14.5,16.67,3.73,-0.57580119706
2009-05-01,393.69,-2.28,2.22,9.98,7.74,4.2,9.0,9.83,12.22,14.39,2.10553989179
2009-05-04,401.9793,8.2893,6.0093,10.5093,18.2693,16.0293,12.4893,17.2893,18.1193,20.5093,0.251430857261
2009-05-05,402.99,1.0107,9.3,7.02,11.52,19.28,17.04,13.5,18.3,19.13,0.119109655326
2009-05-06,403.47,0.48,1.4907,9.78,7.5,12.0,19.76,17.52,13.98,18.78,-1.7002503284
2009-05-07,396.61,-6.86,-6.38,-5.3693,2.92,0.64,5.14,12.9,10.66,7.12,2.70290713799
2009-05-08,407.33,10.72,3.86,4.34,5.3507,13.64,11.36,15.86,23.62,21.38,0.159575773943
2009-05-11,407.98,0.65,11.37,4.51,4.99,6.0007,14.29,12.01,16.51,24.27,-2.1986371881
2009-05-12,399.01,-8.97,-8.32,2.4,-4.46,-3.98,-2.9693,5.32,3.04,7.54,-2.3733741009
2009-05-13,389.54,-9.47,-18.44,-17.79,-7.07,-13.93,-13.45,-12.4393,-4.15,-6.43,-0.52369461416
2009-05-14,387.5,-2.04,-11.51,-20.48,-19.83,-9.11,-15.97,-15.49,-14.4793,-6.19,0.645161290323
2009-05-15,390.0,2.5,0.46,-9.01,-17.98,-17.33,-6.61,-13.47,-12.99,-11.9793,1.75384615385
2009-05-18,396.84,6.84,9.34,7.3,-2.17,-11.14,-10.49,0.23,-6.63,-6.15,0.514061082552
2009-05-19,398.88,2.04,8.88,11.38,9.34,-0.13,-9.1,-8.45,2.27,-4.59,-0.426193341356
2009-05-20,397.18,-1.7,0.34,7.18,9.68,7.64,-1.83,-10.8,-10.15,0.57,-0.171207009416
2009-05-21,396.5,-0.68,-2.38,-0.34,6.5,9.0,6.96,-2.51,-11.48,-10.83,-0.756620428752
2009-05-22,393.5,-3.0,-3.68,-5.38,-3.34,3.5,6.0,3.96,-5.51,-14.48,2.75984752224
2009-05-26,404.36,10.86,7.86,7.18,5.48,7.52,14.36,16.86,14.82,5.35,0.29676525868
2009-05-27,405.56,1.2,12.06,9.06,8.38,6.68,8.72,15.56,18.06,16.02,1.19341157905
2009-05-28,410.4,4.84,6.04,16.9,13.9,13.22,11.52,13.56,20.4,22.9,1.66423001949
2009-05-29,417.23,6.83,11.67,12.87,23.73,20.73,20.05,18.35,20.39,27.23,2.23617668912
2009-06-01,426.56,9.33,16.16,21.0,22.2,33.06,30.06,29.38,27.68,29.72,0.43135783946
2009-06-02,428.4,1.84,11.17,18.0,22.84,24.04,34.9,31.9,31.22,29.52,0.758636788049
2009-06-03,431.65,3.25,5.09,14.42,21.25,26.09,27.29,38.15,35.15,34.47,1.99930499247
2009-06-04,440.28,8.63,11.88,13.72,23.05,29.88,34.72,35.92,46.78,43.78,0.91759789225
2009-06-05,444.32,4.04,12.67,15.92,17.76,27.09,33.92,38.76,39.96,50.82,-1.24909974793
2009-06-08,438.77,-5.55,-1.51,7.12,10.37,12.21,21.54,28.37,33.21,34.41,-0.717915992433
2009-06-09,435.62,-3.15,-8.7,-4.66,3.97,7.22,9.06,18.39,25.22,30.06,-0.693264772049
2009-06-10,432.6,-3.02,-6.17,-11.72,-7.68,0.95,4.2,6.04,15.37,22.2,-0.832177531207
2009-06-11,429.0,-3.6,-6.62,-9.77,-15.32,-11.28,-2.65,0.6,2.44,11.77,-0.969696969697
2009-06-12,424.84,-4.16,-7.76,-10.78,-13.93,-19.48,-15.44,-6.81,-3.56,-1.72,-1.89953864984
2009-06-15,416.77,-8.07,-12.23,-15.83,-18.85,-22.0,-27.55,-23.51,-14.88,-11.63,-0.184754180963
2009-06-16,416.0,-0.77,-8.84,-13.0,-16.6,-19.62,-22.77,-28.32,-24.28,-15.65,-0.201923076923
2009-06-17,415.16,-0.84,-1.61,-9.68,-13.84,-17.44,-20.46,-23.61,-29.16,-25.12,-0.264958088448
2009-06-18,414.06,-1.1,-1.94,-2.71,-10.78,-14.94,-18.54,-21.56,-24.71,-30.26,1.45631067961
2009-06-19,420.09,6.03,4.93,4.09,3.32,-4.75,-8.91,-12.51,-15.53,-18.68,-3.03268347259
2009-06-22,407.35,-12.74,-6.71,-7.81,-8.65,-9.42,-17.49,-21.65,-25.25,-28.27,-0.409966858966
2009-06-23,405.68,-1.67,-14.41,-8.38,-9.48,-10.32,-11.09,-19.16,-23.32,-26.92,0.889863932163
2009-06-24,409.29,3.61,1.94,-10.8,-4.77,-5.87,-6.71,-7.48,-15.55,-19.71,1.58322949498
2009-06-25,415.77,6.48,10.09,8.42,-4.32,1.71,0.61,-0.23,-1.0,-9.07,2.29694302138
2009-06-26,425.32,9.55,16.03,19.64,17.97,5.23,11.26,10.16,9.32,8.55,-0.277438164206
2009-06-29,424.14,-1.18,8.37,14.85,18.46,16.79,4.05,10.08,8.98,8.14,-0.601216579431
2009-06-30,421.59,-2.55,-3.73,5.82,12.3,15.91,14.24,1.5,7.53,6.43,-0.616712920136
2009-07-01,418.99,-2.6,-5.15,-6.33,3.22,9.7,13.31,11.64,-1.1,4.93,-2.50602639681
2009-07-02,408.49,-10.5,-13.1,-15.65,-16.83,-7.28,-0.8,2.81,1.14,-11.6,0.274180518495
2009-07-06,409.61,1.12,-9.38,-11.98,-14.53,-15.71,-6.16,0.32,3.93,2.26,-3.16886794756
2009-07-07,396.63,-12.98,-11.86,-22.36,-24.96,-27.51,-28.69,-19.14,-12.66,-9.05,1.47744749515
2009-07-08,402.49,5.86,-7.12,-6.0,-16.5,-19.1,-21.65,-22.83,-13.28,-6.8,1.96278168402
2009-07-09,410.39,7.9,13.76,0.78,1.9,-8.6,-11.2,-13.75,-14.93,-5.38,0.97711932552
2009-07-10,414.4,4.01,11.91,17.77,4.79,5.91,-4.59,-7.19,-9.74,-10.92,2.388996139
2009-07-13,424.3,9.9,13.91,21.81,27.67,14.69,15.81,5.31,2.71,0.16,0.0919160971011
2009-07-14,424.69,0.39,10.29,14.3,22.2,28.06,15.08,16.2,5.7,3.1,3.17407991712
2009-07-15,438.17,13.48,13.87,23.77,27.78,35.68,41.54,28.56,29.68,19.18,1.01102311888
2009-07-16,442.6,4.43,17.91,18.3,28.2,32.21,40.11,45.97,32.99,34.11,-2.79032986896
2009-07-17,430.25,-12.35,-7.92,5.56,5.95,15.85,19.86,27.76,33.62,20.64,-0.0185938407902
2009-07-20,430.17,-0.08,-12.43,-8.0,5.48,5.87,15.77,19.78,27.68,33.54,-0.527698351814
2009-07-21,427.9,-2.27,-2.35,-14.7,-10.27,3.21,3.6,13.5,17.51,25.41,-0.0490768871232
